"","pointEstimate","mean","median","stDev","stErr","lci","uci","cv"
"Dworshak2009",0.102293578016844,0.100192443863553,0.102293578016844,0.0367144918402615,0.00164192199028372,0.0438401048643618,0.160747051169326,36.6439727633165
"Dworshak2010",0.0147579693034239,0.0160399960705624,0.0147579693034239,0.0151600316034228,0.000677977224125971,0,0.0442739079102715,94.5139358933229
"LF_Cottonwood2010",0.0285714285714286,0.0293150561176634,0.0285714285714286,0.0197535898762726,0.000883407395259942,0,0.0571428571428571,67.383769613084
"Little Sheep2009",0.0285714285714286,0.0293685879169614,0.0285714285714286,0.02097120437894,0.000937860771227022,0,0.0714285714285714,71.4069210213147
"Unassigned",0.0526800722941246,0.0515537947712418,0.0506731479322837,0.0354117586661523,0.00158366199160668,0,0.113607130378768,68.6889468045639
"Oxbow2009",0.163265306122449,0.161274446077608,0.163265306122449,0.0470385199137623,0.002103626561763,0.0977893221041177,0.244897959183673,29.1667533560317
"Oxbow2010",0.0149120190873844,0.0143906462578589,0.0149120190873844,0.0150097051726268,0.000671254421764474,0,0.0447360572621533,104.301814551447
"Pahsimeroi2009",0.105446623142385,0.108356949419853,0.105446623142385,0.0371261229170594,0.00166033069167115,0.045191409918165,0.165701836366605,34.2627982015313
"Pahsimeroi2010",0.161952856995627,0.159048362655318,0.161952856995627,0.0450831287808049,0.00201617881184514,0.0883379219976149,0.23556779199364,28.3455472462215
"Sawtooth2009",0.0428571428571429,0.0426227511654742,0.0428571428571429,0.0247377043139756,0.00110630376906679,0,0.0857142857142857,58.038731985968
"Sawtooth2010",0.10048231511254,0.100100863563568,0.10048231511254,0.0363718254091748,0.00162659748161338,0.0430638493339458,0.157900780891135,36.3351764553732
"Wallowa2009",0.125667248714426,0.12900881716783,0.125667248714426,0.0415573418399472,0.00185850082636636,0.0628336243572132,0.204209279160943,32.2127919255971
"Wallowa2010",0.0585420112107952,0.058727284952508,0.0585420112107952,0.0283922063569943,0.00126973806890882,0.0146355028026988,0.103180294759026,48.3458521536535
